Date,Time,Month,Year,Sales
Jul-91,1,7,1991,3.526591
Aug-91,2,8,1991,3.180891
Sep-91,3,9,1991,3.252221
Oct-91,4,10,1991,3.611003
Nov-91,5,11,1991,3.565869
Dec-91,6,12,1991,4.306371
Jan-92,7,1,1992,5.088335
Feb-92,8,2,1992,2.81452
Mar-92,9,3,1992,2.985811
Apr-92,10,4,1992,3.20478
May-92,11,5,1992,3.127578
Jun-92,12,6,1992,3.270523
Jul-92,13,7,1992,3.73785082
Aug-92,14,8,1992,3.55877609
Sep-92,15,9,1992,3.77720173
Oct-92,16,10,1992,3.92449042
Nov-92,17,11,1992,4.38653092
Dec-92,18,12,1992,5.81054917
Jan-93,19,1,1993,6.19206769
Feb-93,20,2,1993,3.45085699
Mar-93,21,3,1993,3.77230686
Apr-93,22,4,1993,3.7343029
May-93,23,5,1993,3.90539892
Jun-93,24,6,1993,4.04968714
Jul-93,25,7,1993,4.31556552
Aug-93,26,8,1993,4.56218455
Sep-93,27,9,1993,4.60866203
Oct-93,28,10,1993,4.66785129
Nov-93,29,11,1993,5.09384145
Dec-93,30,12,1993,7.1799622
Jan-94,31,1,1994,6.73147308
Feb-94,32,2,1994,3.84127758
Mar-94,33,3,1994,4.39407557
Apr-94,34,4,1994,4.07534073
May-94,35,5,1994,4.5406449
Jun-94,36,6,1994,4.64561508
Jul-94,37,7,1994,4.75260653
Aug-94,38,8,1994,5.35060467
Sep-94,39,9,1994,5.20445484
Oct-94,40,10,1994,5.3016513
Nov-94,41,11,1994,5.77374216
Dec-94,42,12,1994,6.20459348
Jan-95,43,1,1995,6.74948382
Feb-95,44,2,1995,4.21606735
Mar-95,45,3,1995,4.94934946
Apr-95,46,4,1995,4.8230449
May-95,47,5,1995,5.19475419
Jun-95,48,6,1995,5.17078711
Jul-95,49,7,1995,5.25674157
Aug-95,50,8,1995,5.85527729
Sep-95,51,9,1995,5.49072901
Oct-95,52,10,1995,6.11529323
Nov-95,53,11,1995,6.08847284
Dec-95,54,12,1995,7.41659792
Jan-96,55,1,1996,8.32945212
Feb-96,56,2,1996,5.06979585
Mar-96,57,3,1996,5.26255667
Apr-96,58,4,1996,5.59712628
May-96,59,5,1996,6.110296
Jun-96,60,6,1996,5.68916084
Jul-96,61,7,1996,6.48684933
Aug-96,62,8,1996,6.30056933
Sep-96,63,9,1996,6.46747574
Oct-96,64,10,1996,6.82862939
Nov-96,65,11,1996,6.64907826
Dec-96,66,12,1996,8.60693721
Jan-97,67,1,1997,8.52447101
Feb-97,68,2,1997,5.27791837
Mar-97,69,3,1997,5.71430345
Apr-97,70,4,1997,6.21452908
May-97,71,5,1997,6.41192919
Jun-97,72,6,1997,6.66771564
Jul-97,73,7,1997,7.05083102
Aug-97,74,8,1997,6.70491861
Sep-97,75,9,1997,7.25098761
Oct-97,76,10,1997,7.81973318
Nov-97,77,11,1997,7.39810106
Dec-97,78,12,1997,10.09623339
Jan-98,79,1,1998,8.79851303
Feb-98,80,2,1998,5.91826076
Mar-98,81,3,1998,6.53449298
Apr-98,82,4,1998,6.67573561
May-98,83,5,1998,7.06420058
Jun-98,84,6,1998,7.38338118
Jul-98,85,7,1998,7.81349587
Aug-98,86,8,1998,7.43189221
Sep-98,87,9,1998,8.27511722
Oct-98,88,10,1998,8.26044138
Nov-98,89,11,1998,8.59615575
Dec-98,90,12,1998,10.55893902
Jan-99,91,1,1999,10.3914156
Feb-99,92,2,1999,6.42153456
Mar-99,93,3,1999,8.06261937
Apr-99,94,4,1999,7.2977391
May-99,95,5,1999,7.93691594
Jun-99,96,6,1999,8.16532298
Jul-99,97,7,1999,8.71742046
Aug-99,98,8,1999,9.07096378
Sep-99,99,9,1999,9.17711337
Oct-99,100,10,1999,9.25188674
Nov-99,101,11,1999,9.93313643
Dec-99,102,12,1999,11.53297428
Jan-00,103,1,2000,12.51146235
Feb-00,104,2,2000,7.45719853
Mar-00,105,3,2000,8.59119084
Apr-00,106,4,2000,8.47400037
May-00,107,5,2000,9.3868026
Jun-00,108,6,2000,9.56039945
Jul-00,109,7,2000,10.8342948
Aug-00,110,8,2000,10.64375083
Sep-00,111,9,2000,9.90816186
Oct-00,112,10,2000,11.7100413
Nov-00,113,11,2000,11.34015074
Dec-00,114,12,2000,12.07913184
Jan-01,115,1,2001,14.49758109
Feb-01,116,2,2001,8.04927477
Mar-01,117,3,2001,10.31289116
Apr-01,118,4,2001,9.75335821
May-01,119,5,2001,10.85038183
Jun-01,120,6,2001,9.96171916
Jul-01,121,7,2001,11.44360144
Aug-01,122,8,2001,11.65923889
Sep-01,123,9,2001,10.64705979
Oct-01,124,10,2001,12.65213444
Nov-01,125,11,2001,13.67446631
Dec-01,126,12,2001,12.96573509
Jan-02,127,1,2002,16.30026927
Feb-02,128,2,2002,9.05348536
Mar-02,129,3,2002,10.00244879
Apr-02,130,4,2002,10.78875007
May-02,131,5,2002,12.10670515
Jun-02,132,6,2002,10.95410107
Jul-02,133,7,2002,12.84456587
Aug-02,134,8,2002,12.19649985
Sep-02,135,9,2002,12.85474787
Oct-02,136,10,2002,13.54200436
Nov-02,137,11,2002,13.28764
Dec-02,138,12,2002,15.13491784
Jan-03,139,1,2003,16.82834968
Feb-03,140,2,2003,9.80021461
Mar-03,141,3,2003,10.81699371
Apr-03,142,4,2003,10.65422256
May-03,143,5,2003,12.51232269
Jun-03,144,6,2003,12.16120969
Jul-03,145,7,2003,12.9980462
Aug-03,146,8,2003,12.51727568
Sep-03,147,9,2003,13.26865761
Oct-03,148,10,2003,14.73362169
Nov-03,149,11,2003,13.66938174
Dec-03,150,12,2003,16.50396561
Jan-04,151,1,2004,18.00376795
Feb-04,152,2,2004,11.93802987
Mar-04,153,3,2004,12.9979001
Apr-04,154,4,2004,12.88264507
May-04,155,5,2004,13.94344681
Jun-04,156,6,2004,13.9894722
Jul-04,157,7,2004,15.33909742
Aug-04,158,8,2004,15.37076394
Sep-04,159,9,2004,16.142005
Oct-04,160,10,2004,16.685754
Nov-04,161,11,2004,17.636728
Dec-04,162,12,2004,18.869325
Jan-05,163,1,2005,20.778723
Feb-05,164,2,2005,12.154552
Mar-05,165,3,2005,13.402392
Apr-05,166,4,2005,14.459239
May-05,167,5,2005,14.795102
Jun-05,168,6,2005,15.705248
Jul-05,169,7,2005,15.82955
Aug-05,170,8,2005,17.554701
Sep-05,171,9,2005,18.100864
Oct-05,172,10,2005,17.496668
Nov-05,173,11,2005,19.347265
Dec-05,174,12,2005,20.031291
Jan-06,175,1,2006,23.486694
Feb-06,176,2,2006,12.536987
Mar-06,177,3,2006,15.467018
Apr-06,178,4,2006,14.233539
May-06,179,5,2006,17.783058
Jun-06,180,6,2006,16.291602
Jul-06,181,7,2006,16.980282
Aug-06,182,8,2006,18.612189
Sep-06,183,9,2006,16.623343
Oct-06,184,10,2006,21.430241
Nov-06,185,11,2006,23.575517
Dec-06,186,12,2006,23.334206
Jan-07,187,1,2007,28.038383
Feb-07,188,2,2007,16.763869
Mar-07,189,3,2007,19.792754
Apr-07,190,4,2007,16.427305
May-07,191,5,2007,21.000742
Jun-07,192,6,2007,20.681002
Jul-07,193,7,2007,21.83489
Aug-07,194,8,2007,23.93020353
Sep-07,195,9,2007,22.93035694
Oct-07,196,10,2007,23.26333992
Nov-07,197,11,2007,25.25003022
Dec-07,198,12,2007,25.80609
Jan-08,199,1,2008,29.665356
Feb-08,200,2,2008,21.654285
Mar-08,201,3,2008,18.264945
Apr-08,202,4,2008,23.107677
May-08,203,5,2008,22.91251
Jun-08,204,6,2008,19.43174
